Data Set 4:Time(s),Data Set 4:Sound level A-weighted(dB),Data Set 4:Sound level C-weighted(dB)
0.0,68.5,70.3
0.1,55.0,75.7
0.2,59.1,73.3
0.3,63.4,72.2
0.4,67.0,73.7
0.5,73.2,79.1
0.6,61.0,75.8
0.7,65.5,74.5
0.8,61.0,72.4
0.9,59.1,71.6
1.0,63.1,67.0
1.1,58.3,68.0
1.2,57.1,67.3
1.3,63.6,66.0
1.4,80.2,79.8
1.5,63.8,70.8
1.6,70.1,73.3
1.7,75.1,74.7
1.8,76.7,76.0
1.9,63.3,72.4
2.0,63.7,72.6
2.1,79.3,77.1
2.2,71.9,72.2
2.3,82.3,80.9
2.4,83.2,83.7
2.5,81.8,80.7
2.6,60.2,69.4
2.7,73.2,74.7
2.8,68.0,70.9
2.9,84.2,84.8
3.0,83.1,83.4
3.1,79.1,76.3
3.2,54.0,68.2
3.3,56.6,72.7
3.4,56.4,71.2
3.5,60.7,70.3
3.6,59.1,72.5
3.7,63.1,69.2
3.8,81.4,78.8
3.9,74.4,73.3
4.0,83.8,82.6
4.1,84.2,83.3
4.2,81.6,81.2
4.3,75.2,75.6
4.4,64.7,74.5
4.5,60.2,75.4
4.6,61.6,75.4
4.7,68.1,76.6
4.8,71.7,75.9
4.9,75.2,77.2
5.0,84.4,82.4
5.1,82.8,80.5
5.2,73.2,76.7
5.3,81.0,79.7
5.4,72.8,75.3
5.5,82.2,80.0
5.6,69.6,75.6
5.7,83.9,82.3
5.8,65.6,76.3
5.9,69.1,75.0
6.0,63.8,74.5
6.1,83.8,82.6
6.2,65.1,72.9
6.3,81.8,80.3
6.4,69.3,72.7
6.5,84.2,84.0
6.6,82.6,82.8
6.7,79.0,77.2
6.8,66.0,70.2
6.9,71.7,72.8
7.0,81.6,78.8
7.1,77.4,75.5
7.2,83.6,81.5
7.3,84.2,84.6
7.4,82.0,82.1
7.5,62.8,71.2
7.6,84.5,84.6
7.7,63.9,72.8
7.8,64.8,74.3
7.9,66.0,74.4
8.0,81.7,79.7
8.1,71.6,77.1
8.2,84.6,82.9
8.3,82.7,80.7
8.4,74.6,77.6
8.5,81.4,81.2
8.6,74.9,78.7
8.7,61.6,77.9
8.8,70.4,77.5
8.9,84.2,81.8
9.0,65.0,77.0
9.1,84.9,82.8
9.2,63.5,78.1
9.3,59.8,78.5
9.4,65.6,76.4
9.5,84.6,82.9
9.6,83.2,81.1
9.7,77.3,77.7
9.8,56.8,76.0
9.9,55.2,75.1
10.0,73.8,78.5
10.1,84.0,83.2
10.2,82.6,81.8
10.3,67.4,72.8
10.4,82.6,81.2
10.5,83.8,83.5
10.6,82.1,81.9
10.7,56.8,72.2
10.8,85.0,84.2
10.9,83.3,82.8
11.0,81.0,79.6
11.1,54.3,71.3
11.2,53.0,71.9
11.3,59.3,73.3
11.4,59.3,74.0
11.5,55.2,75.8
11.6,53.3,75.9
11.7,74.9,78.6
11.8,70.3,77.5
11.9,79.2,80.3
12.0,65.6,76.7
12.1,58.4,76.9
12.2,54.3,77.1
12.3,84.7,83.4
12.4,83.5,81.5
12.5,81.6,79.8
12.6,62.5,77.1
12.7,83.2,80.7
12.8,53.5,74.9
12.9,54.3,76.6
13.0,54.5,76.2
13.1,53.0,75.6
13.2,53.8,76.8
13.3,53.0,75.6
13.4,77.8,78.1
13.5,70.6,74.0
13.6,82.5,80.4
13.7,83.6,83.6
13.8,81.9,80.6
13.9,56.0,75.0
14.0,53.3,73.9
14.1,58.0,73.3
14.2,66.0,73.5
14.3,65.2,72.8
14.4,59.8,75.7
14.5,68.7,76.8
14.6,84.5,82.8
14.7,83.3,81.4
14.8,73.8,74.9
14.9,76.5,77.0
15.0,72.1,74.3
15.1,80.8,78.6
15.2,84.2,82.5
15.3,82.4,80.3
15.4,58.6,75.4
15.5,84.6,83.5
15.6,62.2,76.8
15.7,58.9,77.1
15.8,59.0,78.6
15.9,83.5,81.6
16.0,66.9,78.8
16.1,80.7,80.5
16.2,68.9,79.3
16.3,80.7,80.1
16.4,76.9,79.6
16.5,71.5,79.5
16.6,55.2,77.2
16.7,53.0,76.7
16.8,80.4,80.6
16.9,61.2,77.5
17.0,84.3,82.4
17.1,54.8,73.9
17.2,84.8,84.6
17.3,83.4,82.6
17.4,81.2,79.6
17.5,53.0,74.6
17.6,61.1,75.1
17.7,65.6,74.2
17.8,80.0,78.5
17.9,69.7,77.1
18.0,84.3,83.5
18.1,82.5,80.9
18.2,69.4,75.2
18.3,79.0,78.8
18.4,69.0,74.5
18.5,53.0,74.4
18.6,53.0,72.6
18.7,84.5,84.9
18.8,58.0,71.9
18.9,84.6,84.6
19.0,83.4,84.1
19.1,81.0,79.4
19.2,70.7,72.5
19.3,82.4,78.6
19.4,54.3,67.3
19.5,56.6,71.6
19.6,73.6,74.9
19.7,84.2,84.0
19.8,82.6,81.4
19.9,71.2,72.6
20.0,82.2,79.8
20.1,83.9,83.8
20.2,82.4,80.6
20.3,63.5,74.3
20.4,84.7,85.0
20.5,83.5,82.6
20.6,81.3,79.4
20.7,60.5,73.0
20.8,65.2,74.4
20.9,58.0,74.9
21.0,54.8,74.9
21.1,56.6,73.1
21.2,53.3,75.9
21.3,53.0,74.7
21.4,53.0,76.3
21.5,61.2,76.2
21.6,53.0,73.8
21.7,53.0,73.3
21.8,53.5,74.3
21.9,54.3,73.0
22.0,53.0,72.1
22.1,53.0,72.2
22.2,53.0,70.3
22.3,54.8,68.6
22.4,62.0,76.2
22.5,68.9,76.2
22.6,65.2,72.9
22.7,62.1,73.2
22.8,66.3,75.8
22.9,66.1,78.1
23.0,63.3,79.5
23.1,67.5,77.5
23.2,73.1,74.4
23.3,72.1,77.2
23.4,66.4,77.3
23.5,61.3,75.9